"";"X";"Data.mostreig";"darrers_14";"darrers_7";"set_i_set";"mitjana_7";"N1.Concentracio.final";"Cabal.influent.últimes.24h.calculat";"Laboratori";"EDAR";"load_N1";"log_14";"log_7";"log_7_7";"log_mean_7";"log_N1";"sim_median_1_5";"sim_median_2_4";"sim_median_3_3";"sim_median_4_2";"sim_median_5_1"
"240";240;"2020-09-07";74;23;71;3,29;82466,9;21450;"UB_Girones";"DIGU";1768915005000;1,86923171973098;1,36172783601759;1,85125834871908;0,517195897949974;12,2477069658966;7763115,63982435;927007,485103949;105405,23397589;11976,4641591336;1433,88227419081
"241";241;"2020-09-07";154;72;157;10,29;17966,5;24046;"UB_Girones";"DMAS";432022459000;2,18752072083646;1,85733249643127;2,19589965240923;1,01241537476243;11,6355063245145;1887759,19467549;225755,998878629;25854,8276706653;2917,25649274369;348,942491095941
"242";242;"2020-09-07";5;1;3;0,14;33976,38;2573;"UB_Girones";"DSLL";87421225740;0,698970004336019;0;0,477121254719662;-0,853871964321762;10,941616891474;378883,875240392;45880,7716412268;5178,83960194945;591,232760753257;71,1240044738414
"243";243;"2020-09-07";814;457;720;65,29;11146,38;50000;"UB_Girones";"DGVC";5,57319e+11;2,9106244048892;2,65991620006985;2,85733249643127;1,81484666860446;11,7461038491831;2430038,77743967;291545,000264159;33069,4128820676;3770,39697529408;452,344690199833
"244";244;"2020-09-07";570;293;534;41,86;7718,42;56568;"UB_Girones";"DSFL";436615582560;2,75587485567249;2,46686762035411;2,72754125702856;1,62179922400267;11,640099231371;1905193,82069951;227869,457095618;25947,1475604982;2947,10147704246;355,292857704809
"245";245;"2020-09-07";3820;1787;3291;255,29;240185,86;474539;"UB_Girones";"DBSS";113977557818540;3,58206336291171;3,25212455250564;3,51732788229437;2,40703380332804;14,0568193471694;498543786,089669;59894769,6541869;6768981,58286641;771218,012900486;92561,7430616413
"246";246;"2020-09-07";113;45;92;6,43;11094,54;21160;"UB_Girones";"DVLG";234760466400;2,05307844348342;1,65321251377534;1,96378782734556;0,808210972924222;11,3706249636578;1028139,13411198;122539,278754669;13913,6632003418;1586,32934025807;190,870830965289
"247";247;"2020-09-07";425;215;357;30,71;36891,83;25000;"UB_Girones";"DMAT";922295750000;2,62838893005031;2,33243845991561;2,55266821611219;1,48727981644307;11,9648702073846;4024782,44924701;482896,41273846;55073,031986609;6269,61835408614;749,258713854066
"248";248;"2020-09-07";193;77;152;11;22215,96;26444;"UB_Girones";"DVIC";587478846240;2,28555730900777;1,88649072517248;2,18184358794477;1,04139268515823;11,7689922332814;2569806,30001358;307353,889756785;35255,6887163356;3981,50884089567;476,263468359037
"249";249;"2020-09-07";562;333;665;47,57;45710,78;47385,5;"UB_Girones";"DTRS";2166028165690;2,74973631556906;2,52244423350632;2,8228216453031;1,6773331514199;12,3356640996227;9465512,59060529;1140881,55382715;128353,086690041;14579,6914201991;1760,5184116376
"250";250;"2020-09-07";72;37;53;5,29;8722,58;18499;"UB_Girones";"DPAM";161359007420;1,85733249643127;1,56820172406699;1,72427586960079;0,723455672035186;11,2077932137041;706252,435503246;84489,7112058802;9635,10134853791;1091,59976082845;131,009220212713
"251";251;"2020-09-07";8;6;33;0,86;11988,23;6965;"UB_Girones";"DRIP";83498021950;0,903089986991944;0,778151250383644;1,51851393987789;-0,0655015487564323;10,9216761872635;365034,551504343;43492,9020734688;4969,96166263099;565,119782820943;67,7104482253134
"252";252;"2020-09-07";65;37;77;5,29;27118,61;9704;"UB_Girones";"DBLN";263158991440;1,81291335664286;1,56820172406699;1,88649072517248;0,723455672035186;11,4202182132895;1151285,65274918;138358,779148918;15663,817358309;1775,22205721265;212,713170200411
"253";253;"2020-09-07";81;46;76;6,57;8358,96;7726;"EURECAT";"DBAL";64581324960;1,90848501887865;1,66275783168157;1,88081359228079;0,817565369559781;10,8101069508223;282814,574540321;33799,0226875082;3830,83823487127;439,504152303088;52,2231365950253
"254";254;"2020-09-07";27;7;10;1;7955,62;1697;"EURECAT";"DBBL";13500687140;1,43136376415899;0,845098040014257;1;0;10,1303558731999;58784,7302373734;7082,94181249848;804,941450965229;91,492951035565;10,9252136135405
"255";255;"2020-09-07";274;95;176;13,57;1714,67;66657;"EURECAT";"DLLE";114294758190;2,43775056282039;1,97772360528885;2,24551266781415;1,13257984765974;11,058026313148;498984,283423101;60012,5264246648;6813,73353759873;774,882740316448;92,6164883494066
"256";256;"2020-09-07";14;8;14;1,14;3958,39;1083;"EURECAT";"DMOB";4286936370;1,14612803567824;0,903089986991944;1,14612803567824;0,0569048513364726;9,63214703742643;18757,5802059494;2252,22784726003;254,806865314731;29,0836354844577;3,47304030183842
"257";257;"2020-09-07";369;188;295;26,86;11116,67;17086;"EURECAT";"DRUS";189939423620;2,56702636615906;2,27415784926368;2,46982201597816;1,4291060083327;11,2786151157831;831530,211846539;99381,6991835345;11293,6172872769;1278,06356306401;154,168653918112
"258";258;"2020-09-07";290;146;251;20,86;13065,66;19374;"EURECAT";"DTAR";253134096840;2,46239799789896;2,16435285578444;2,39967372148104;1,31931430409051;11,4033506480113;1105715,11102256;132447,753554732;15109,6687931207;1702,91441029228;205,030012638627
"259";259;"2020-09-07";46;12;44;1,71;2358,21;5330;"EURECAT";"DTOT";12569259300;1,66275783168157;1,07918124604762;1,64345267648619;0,232996110392154;10,0993096856891;54804,2538252085;6587,09807534219;747,087230171156;85,2433878591931;10,1676644173016
"260";260;"2020-09-07";40;24;44;3,43;33195,56;3176;"EURECAT";"DTRG";105429098560;1,60205999132796;1,38021124171161;1,64345267648619;0,535294120042771;11,0229604932287;460406,134616146;55266,5585856879;6262,86074644783;716,922386857101;85,4213744348214
"261";261;"2020-09-07";4;2;3;0,29;6350,89;2036;"EURECAT";"DTRP";12930412040;0,602059991327962;0,301029995663981;0,477121254719662;-0,537602002101044;10,1116123643117;56621,2219416428;6766,27805425081;769,227153094925;87,6944356406573;10,4451930092358
"262";262;"2020-09-07";101;51;85;7,29;8381,54;29945,7;"EURECAT";"DVLC";250991082378;2,00432137378264;1,70757017609794;1,92941892571429;0,862727528317975;11,3996582914299;1096090,59912728;130434,167097695;14908,3597367774;1699,83786175161;203,800799352395
"263";263;"2020-09-14";68;37;125;5,29;7644,52;6407;"UB_Girones";"DMAN";48978439640;1,83250891270624;1,56820172406699;2,09691001300806;0,723455672035186;10,6900049452123;214211,105060213;25626,4845274583;2907,38415949468;332,934216649954;39,6878650523854
"264";264;"2020-09-14";71;48;101;6,86;6590,46;22490;"UB_Girones";"DIGU";148219445400;1,85125834871908;1,68124123737559;2,00432137378264;0,836324115706752;11,1709051839127;646645,333582367;77524,7134298506;8841,76684599318;1006,63422346379;120,025612079179
"265";265;"2020-09-14";157;85;173;12,14;15454,6;21883;"UB_Girones";"DMAS";338193011800;2,19589965240923;1,92941892571429;2,2380461031288;1,08421868673924;11,5291646293763;1478476,96823202;177376,870103811;20296,0736778694;2270,20283768579;274,528813872793
"266";266;"2020-09-14";3;2;22;0,29;2083,61;2336;"UB_Girones";"DSLL";4867312960;0,477121254719662;0,301029995663981;1,34242268082221;-0,537602002101044;9,68728927154274;21192,4466853897;2540,81527592646;289,738670484657;33,0071569212224;3,95124113227939
"267";267;"2020-09-14";720;263;539;37,57;4295,56;40880;"UB_Girones";"DGVC";175602492800;2,85733249643127;2,41995574848976;2,73158876518674;1,57484119506338;11,2445306767273;766806,828162902;91590,3986297434;10462,4395474442;1189,56819777453;141,492677586775
"268";268;"2020-09-14";3291;1504;3542;214,86;34936,17;362072;"UB_Girones";"DBSS";12649408944240;3,51732788229437;3,17724783625562;3,54924855685406;2,33215557139555;13,1020702331599;55076121,8749529;6614521,50423803;746256,566464111;85529,8990107731;10285,6488298326
"269";269;"2020-09-14";357;142;381;20,29;26183,63;25276;"UB_Girones";"DMAT";661817431880;2,55266821611219;2,15228834438306;2,58092497567562;1,30728204703335;11,8207382020345;2887789,38654601;347368,444005131;39524,7673280301;4481,49543542228;539,044561654762
"270";270;"2020-09-14";152;75;196;10,71;1130,78;21603;"UB_Girones";"DVIC";24428240340;2,18184358794477;1,8750612633917;2,29225607135648;1,02978947083186;10,3878921842001;107188,774498174;12864,2619624127;1451,95994263869;165,581760834369;19,8617431782974
"271";271;"2020-09-14";665;332;725;47,43;12056,61;39669,1;"UB_Girones";"DTRS";478274867751;2,8228216453031;2,52113808370404;2,86033800657099;1,67605312465187;11,6796775602911;2093892,21757446;251708,536841941;28414,3221488689;3238,24961719043;387,421542815363
"272";272;"2020-09-14";98;50;100;7,14;32513,75;11515;"UB_Girones";"DCPA";374395831250;1,99122607569249;1,69897000433602;2;0,853698211776174;11,5733310043951;1636996,61620637;196296,249820681;22374,2784582752;2536,8458019099;303,317141087924
"273";273;"2020-09-14";33;27;41;3,86;2370,09;6477;"UB_Girones";"DRIP";15351072930;1,51851393987789;1,43136376415899;1,61278385671974;0,586587304671755;10,1861387349464;67228,7336790966;8058,88873131175;909,386379545355;104,320357914512;12,4759566990881
"274";274;"2020-09-14";30;18;30;2,57;5047,53;10510;"UB_Girones";"DLDM";53049540300;1,47712125471966;1,25527250510331;1,47712125471966;0,409933123331295;10,7246816248813;232963,408173076;27827,6374609824;3186,86840121807;358,361050074409;43,1248528989657
"275";275;"2020-09-07";69;37;52;5,29;4974,77;13993;"UB_Girones";"DOLO";69611956610;1,83884909073726;1,56820172406699;1,7160033436348;0,723455672035186;10,8426838408141;305134,62667563;36295,7989971281;4150,58409945323;470,994122236409;56,6023347388268
"276";276;"2020-09-14";10;6;10;0,86;31882,67;7233;"Virus Entèrics-UB";"DRSS";230607352110;1;0,778151250383644;1;-0,0655015487564323;11,3628731491421;1012481,50239275;120404,858486941;13823,3006641161;1545,74021374975;187,890571387607
"277";277;"2020-09-14";41;22;32;3,14;54881,94;10969;"Virus Entèrics-UB";"DBAY";601999999860;1,61278385671974;1,34242268082221;1,50514997831991;0,496929648073215;11,7795964911568;2624057,64638358;316846,17248639;36054,6265202903;4072,65723926268;490,135494827069
"278";278;"2020-09-14";715;422;783;60,29;313213,67;43919;"Virus Entèrics-UB";"DGIR";13756031172730;2,85430604180108;2,62531245096167;2,89376176205794;1,78024528386535;13,1384931513117;60252500,4953594;7181186,9395406;811132,825029532;92712,3436271456;11144,2263231686
"279";279;"2020-09-14";240;127;249;18,14;3463617,38;22122;"Virus Entèrics-UB";"DGRA";76622143680360;2,38021124171161;2,10380372095596;2,39619934709574;1,25863728272408;13,8843542982021;333485790,387484;40024555,6249108;4573419,60724111;520274,717105549;62175,9700769407
"280";280;"2020-09-14";453;210;443;30;322687,83;51378;"Virus Entèrics-UB";"DMIR";16579055329740;2,65609820201283;2,32221929473392;2,64640372622307;1,47712125471966;13,2195597809326;72732480,6976543;8723984,73113603;991004,640401538;112639,384643094;13417,573403146
"281";281;"2020-09-14";220;92;238;13,14;169490,36;29989;"Virus Entèrics-UB";"DLLL";5082846406040;2,34242268082221;1,96378782734556;2,37657695705651;1,11859536522376;12,706106986347;22197161,629533;2663457,22523553;301438,165242502;34214,0790519122;4125,11999295865
"282";282;"2020-09-14";94;40;65;5,71;148257,08;11500;"Virus Entèrics-UB";"DVEN";1704956420000;1,9731278535997;1,60205999132796;1,81291335664286;0,756636108245848;12,2317132825687;7491997,92030328;886846,007297074;101086,732770812;11527,4458284989;1381,40801750301
"283";283;"2020-09-14";125;61;102;8,71;112361,32;15731;"Virus Entèrics-UB";"DVDP";1767555924920;2,09691001300806;1,78532983501077;2,00860017176192;0,940018155007663;12,2473731636287;7720056,49860098;927816,651840511;104979,382113666;11890,5507286835;1439,40248542318
"284";284;"2020-09-14";2602;1078;2456;154;490046,06;227665,85;"Virus Entèrics-UB";"DPDL";111566752789051;3,41530729222557;3,03261876085072;3,39022836246913;2,18752072083646;14,0475347928858;487694954,776026;58394566,1789346;6691081,83097602;752563,568035458;90680,1164339657
"285";285;"2020-09-14";16;13;36;1,86;249714,14;4707,71;"Virus Entèrics-UB";"DBER";1175581754019,4;1,20411998265592;1,11394335230684;1,55630250076729;0,269512944217916;12,0702528368509;5141186,13487351;615900,7780887;70004,8071305775;7948,65550432349;954,699876693855
"286";286;"2020-09-14";328;154;347;22;1077140,6;25476;"Virus Entèrics-UB";"DRUB";27441233925600;2,51587384371168;2,18752072083646;2,54032947479087;1,34242268082221;13,4384036360081;120494976,99827;14388905,8233232;1633429,47242266;185957,520129736;22294,0649017957
"287";287;"2020-09-14";39;22;40;3,14;85255,29;7790;"Virus Entèrics-UB";"DMRT";664138709100;1,5910646070265;1,34242268082221;1,60205999132796;0,496929648073215;11,8222587936835;2915813,54247474;348344,678973025;39523,4432017522;4483,59682354148;539,254079442405
"288";288;"2020-09-14";84;60;163;8,57;866531,56;7780;"Virus Entèrics-UB";"DPUI";6741615536800;1,92427928606188;1,77815125038364;2,21218760440396;0,932980821923198;12,8287639817941;29493778,7844497;3523940,75562247;399649,623930194;45503,8398758065;5440,22949014662
"289";289;"2020-09-14";80;25;44;3,57;35723,84;15754;"Virus Entèrics-UB";"DABR";562793375360;1,90308998699194;1,39794000867204;1,64345267648619;0,552668216112193;11,7503489767131;2462202,4743848;292516,793152891;33749,4401091111;3781,87071394796;456,55775917946
"290";290;"2020-09-14";623;247;596;35,29;1577405,48;25030;"Virus Entèrics-UB";"DSRS";39482459164400;2,79448804665917;2,39269695325967;2,77524625974024;1,54765165835997;13,5964041948656;172252326,526376;20710717,8737156;2344505,39622679;267175,697014367;32072,9943059921
"291";291;"2020-09-14";44;32;74;4,57;7539,11;5862;"EURECAT";"DTOT";44194262820;1,64345267648619;1,50514997831991;1,86923171973098;0,65991620006985;10,64536589407;192731,713266992;22961,5376513374;2643,02019961447;297,236376409696;35,7265291646122
"292";292;"2020-09-14";295;107;232;15,29;2999,09;17831;"EURECAT";"DRUS";53476773790;2,46982201597816;2,02938377768521;2,3654879848909;1,18440748541232;10,7281651987496;234031,804010006;27832,076318686;3179,23074999199;363,146064342198;43,3316743314293
"293";293;"2020-09-14";80;35;83;5;7238,96;7675;"EURECAT";"DBAL";55559018000;1,90308998699194;1,54406804435028;1,91907809237607;0,698970004336019;10,7447545610226;242110,847171959;29160,4580873626;3313,51733008821;377,504128074788;45,025016929509
"294";294;"2020-09-14";28;17;19;2,43;5915,41;1893;"EURECAT";"DCER";11197871130;1,44715803134222;1,23044892137827;1,27875360095283;0,385606273598312;10,0491354651368;49028,3898091134;5905,81159913337;669,30362734622;75,6915981288978;9,04586097184256
"295";295;"2020-09-14";26;17;29;2,43;4092,79;3500;"EURECAT";"DMOF";14324765000;1,41497334797082;1,23044892137827;1,46239799789896;0,385606273598312;10,1560875060293;62878,2980332497;7516,22643374322;850,358666374189;97,405292168659;11,6264513991872
"296";296;"2020-09-14";2;0;17;0;2097,02;1583,08;"EURECAT";"DMLN";3319750421,6;0,301029995663981;0;1,23044892137827;0;9,52110543472927;14479,0385628579;1745,28497782443;198,647664633938;22,7002908011834;2,68304446445835
"297";297;"2020-09-21";125;88;209;12,57;16317,25;10578;"UB_Girones";"DMAN";172603870500;2,09691001300806;1,94448267215017;2,32014628611105;1,09933527768596;11,2370505301854;756368,019702811;90465,2382494605;10256,9533281317;1170,95842061736;140,477175862541
"298";298;"2020-09-21";173;88;170;12,57;4695,81;23158;"UB_Girones";"DMAS";108745567980;2,2380461031288;1,94448267215017;2,23044892137827;1,09933527768596;11,0364115659388;476275,747056991;57268,0881431992;6500,46300407398;737,531517344829;87,8183115775979
"299";299;"2020-09-21";22;20;22;2,86;1991,54;3203;"UB_Girones";"DSLL";6378902620;1,34242268082221;1,30102999566398;1,34242268082221;0,456366033129043;9,8047459722838;27877,4248361079;3361,64421636261;376,747559273545;43,2591774248097;5,18831264763197
"300";300;"2020-09-21";539;276;543;39,43;3373,54;45265;"UB_Girones";"DGVC";152703288100;2,73158876518674;2,44090908206522;2,73479982958885;1,59582677707322;11,1838483886498;668652,838497228;79881,8482446438;9083,89838971802;1036,95624136011;124,138895240452
"301";301;"2020-09-21";511;270;549;38,57;3363,92;62573;"UB_Girones";"DSFL";210490566160;2,70842090013471;2,43136376415899;2,73957234445009;1,58624963886604;11,3232326362455;921303,130117977;110032,787754098;12506,9535653013;1425,21185189869;171,569041176172
"302";302;"2020-09-21";3542;2038;3637;291,14;6806,76;491723;"UB_Girones";"DBSS";3347040447480;3,54924855685406;3,30920417967041;3,56074330105471;2,4641018776678;12,5246609606432;14642850,8244798;1761585,89063667;198582,83344331;22621,8231329315;2704,75663726246
"303";303;"2020-09-21";103;56;95;8;2263,06;16961;"UB_Girones";"DVLG";38383760660;2,01283722470517;1,7481880270062;1,97772360528885;0,903089986991944;10,5841475226109;167926,52266442;20141,0568680116;2276,83642414451;258,343718399023;31,1077318606214
"304";304;"2020-09-21";381;239;427;34,14;12766,73;25000;"UB_Girones";"DMAT";319168250000;2,58092497567562;2,37839790094814;2,63042787502502;1,53326351677871;11,5040196823791;1396365,8163722;167691,679654754;19215,9680137289;2150,32343209718;258,121043764087
"305";305;"2020-09-21";196;121;250;17,29;15556,23;23890,25;"UB_Girones";"DVIC";371642223757,5;2,29225607135648;2,08278537031645;2,39794000867204;1,23779499327392;11,5701250500556;1620739,63401177;195015,373856648;22158,3426424349;2516,94933721833;301,331690993314
"306";306;"2020-09-21";725;393;820;56,14;27079,23;40253,775;"UB_Girones";"DTRS";1090041231593,25;2,86033800657099;2,59439255037543;2,91381385238372;1,74927240829842;12,0374429257523;4766418,05950125;572523,826882043;65036,6069804728;7376,487780097;885,588887604627
"307";307;"2020-09-21";41;29;59;4,14;7292,05;17418;"UB_Girones";"DOLO";127012926900;1,61278385671974;1,46239799789896;1,77085201164214;0,617000341120899;11,1038479240712;556984,862195305;66504,1379288043;7575,11804519906;859,830727002438;102,965107236048
"308";308;"2020-09-21";91;51;85;7,29;3878,55;9425;"UB_Girones";"DBLN";36555333750;1,95904139232109;1,70757017609794;1,92941892571429;0,862727528317975;10,5629507533648;159665,713895403;19122,6324128442;2187,37526954522;246,716448968461;29,6151010558468
"309";309;"2020-09-21";41;14;18;2;1022,48;10775;"UB_Girones";"DRIP";11017222000;1,61278385671974;1,14612803567824;1,25527250510331;0,301029995663981;10,0420721006715;48044,3218802474;5727,88171397736;655,392897020893;74,7992452262238;8,9464066751358
"310";310;"2020-09-21";384;182;399;26;148651,4;40355;"Virus Entèrics-UB";"DMDV";5998827247000;2,58433122436753;2,26007138798507;2,60097289568675;1,41497334797082;12,7780663553939;26314825,9731208;3145902,94767789;359407,394817539;40917,2949982391;4864,58958307638
"311";311;"2020-09-21";32;10;58;1,43;949768,13;11700;"Virus Entèrics-UB";"DBAY";11112287121000;1,50514997831991;1;1,76342799356294;0,155336037465062;13,0458034542428;48524407,4111586;5832181,04702465;659775,407393682;75278,8077694364;9019,17202250255
"312";312;"2020-09-21";783;361;738;51,57;367973,27;45343;"Virus Entèrics-UB";"DGIR";16685011981610;2,89376176205794;2,55750720190566;2,86805636182304;1,71239713140671;13,2223265228605;73061746,8208602;8780489,67410818;994325,239962254;113153,381518016;13579,1602596914
"313";313;"2020-09-21";249;122;267;17,43;1414664,21;23774;"Virus Entèrics-UB";"DGRA";33632226928540;2,39619934709574;2,08635983067475;2,42651126136458;1,24129738710999;13,5267556246966;147015245,060485;17581034,6643002;2006092,19244451;227085,036808656;27279,7244590943
"314";314;"2020-09-21";443;233;457;33,29;188740,65;55658;"Virus Entèrics-UB";"DMIR";10504927097700;2,64640372622307;2,36735592102602;2,65991620006985;1,52231379515667;13,021393042827;46151692,3698646;5492357,09292348;629840,674465939;70850,9745743692;8541,26057963424
"315";315;"2020-09-21";79;45;78;6,43;807862,21;17641;"Virus Entèrics-UB";"DFIG";14251497246610;1,89762709129044;1,65321251377534;1,89209460269048;0,808210972924222;13,1538604932415;62371518,0174482;7506842,37066808;853018,382566545;96503,2677415716;11542,3245185145
"316";316;"2020-09-21";65;25;38;3,57;40910,2;9344;"Virus Entèrics-UB";"DVEN";382264908800;1,81291335664286;1,39794000867204;1,57978359661681;0,552668216112193;11,5823644324318;1673025,45962186;200540,553035413;22775,0736641569;2604,61948764129;310,140724628518
"317";317;"2020-09-21";102;41;72;5,86;100719,5;20299;"Virus Entèrics-UB";"DVDP";2044505130500;2,00860017176192;1,61278385671974;1,85733249643127;0,767897616018091;12,3105882047143;8944939,16228862;1077303,69404631;121342,081297477;13784,6061660101;1660,4106775813
"318";318;"2020-09-21";2456;1378;2563;196,86;805419,21;288481;"Virus Entèrics-UB";"DPDL";232348139120010;3,39022836246913;3,13924921757161;3,40874860618424;2,29415748076969;14,3661391985573;1015296527,30602;122585614,377228;13816787,1245358;1573403,03253556;188429,987883446
"319";319;"2020-09-21";36;23;64;3,29;128352,83;5705,52;"Virus Entèrics-UB";"DBER";732319638621,6;1,55630250076729;1,36172783601759;1,80617997398389;0,517195897949974;11,8647006807716;3200300,3353272;383463,25962734;43535,618631972;4958,2288552378;597,494741408477
"320";320;"2020-09-21";347;193;396;27,57;2974331,06;26374;"Virus Entèrics-UB";"DRUB";78445007376440;2,54032947479087;2,28555730900777;2,59769518592551;1,44043676610577;13,8945653081797;343294165,526776;40932921,452016;4696486,57793154;530055,953481437;63467,7806622568
"321";321;"2020-09-21";163;103;137;14,71;1754980,79;9263;"Virus Entèrics-UB";"DPUI";16256387057770;2,21218760440396;2,01283722470517;2,13672056715641;1,16761267272753;13,2110240310967;70911592,6697257;8458366,68129657;969309,471813711;110008,011103596;13193,6837630228
"322";322;"2020-09-21";44;19;38;2,71;76757,41;18370;"Virus Entèrics-UB";"DABR";1410033621700;1,64345267648619;1,27875360095283;1,57978359661681;0,432969290874406;12,1492294683608;6155545,23327767;734895,485604122;83745,3033967291;9527,34348877461;1142,96326278028
"323";323;"2020-09-21";40;18;52;2,57;443856,97;8534;"Virus Entèrics-UB";"DMRT";3787875381980;1,60205999132796;1,25527250510331;1,7160033436348;0,409933123331295;12,5783956826309;16626600,0812471;1984338,09287598;224455,297294155;25736,8670434609;3078,66043858257
"324";324;"2020-09-21";596;349;641;49,86;507859,08;23879;"Virus Entèrics-UB";"DSRS";12127166971320;2,77524625974024;2,54282542695918;2,80685802951882;1,69775227416775;13,0837593571382;53062173,0253552;6359738,67191085;718058,874476837;82041,5091805851;9801,70109247078
"325";325;"2020-09-21";12;12;46;1,71;7449,96;3707;"EURECAT";"DAMP";27617001720;1,07918124604762;1,07918124604762;1,66275783168157;0,232996110392154;10,4411765269891;121114,533924828;14518,2108494068;1637,95646998356;188,471361639335;22,3611543865051
"326";326;"2020-09-21";83;48;98;6,86;29049,47;7162;"EURECAT";"DBAL";208052304140;1,91907809237607;1,68124123737559;1,99122607569249;0,836324115706752;11,318172529885;909185,737119626;109097,78528157;12393,6150187185;1407,35937348093;168,111864311142
"327";327;"2020-09-21";174;93;216;13,29;16748,54;71275;"EURECAT";"DLLE";1193752188500;2,2405492482826;1,96848294855394;2,33445375115093;1,12352498094273;12,0769141807825;5230230,69142733;625052,370657261;71310,9918512676;8108,35882311179;972,211006273606
"328";328;"2020-09-21";232;125;269;17,86;22418,98;17069;"EURECAT";"DRUS";382669569620;2,3654879848909;2,09691001300806;2,42975228000241;1,25188145455253;11,5828239279377;1671816,69582855;200938,207932134;22839,8602313917;2580,29393584488;312,331761457833
"329";329;"2020-09-21";22;20;29;2,86;26766,98;2549;"EURECAT";"DSOL";68229032020;1,34242268082221;1,30102999566398;1,46239799789896;0,456366033129043;10,8339692098941;298305,417129423;35769,4314488546;4060,84052123491;460,204879936554;55,1650317095074
"330";330;"2020-09-21";74;42;205;6;2799,71;6967;"EURECAT";"DTOT";19505579570;1,86923171973098;1,6232492903979;2,31175386105575;0,778151250383644;10,2901588590474;84707,1971261134;10192,5198649054;1162,22990815309;132,148008225001;15,8158821858421
"331";331;"2020-09-21";35;15;28;2,14;1926,97;3048;"EURECAT";"DTRG";5873404560;1,54406804435028;1,17609125905568;1,44715803134222;0,330413773349191;9,76888991606932;25737,6284071823;3073,7066676861;350,316608526231;40,1936517430608;4,75467209066298
"332";332;"2020-09-21";8;7;14;1;29710,32;2076;"EURECAT";"DTRP";61678624320;0,903089986991944;0,845098040014257;1,14612803567824;0;10,7901346786471;269064,495716182;32243,1801629714;3673,31721256449;417,174847510858;49,9290285807402
"333";333;"2020-09-21";93;59;109;8,43;9213,57;23621,6;"EURECAT";"DVLC";217639265112;1,96848294855394;1,77085201164214;2,03742649794062;0,925827574624742;11,3377372507831;951828,086693463;114735,561536852;12973,2699317645;1467,58932137631;176,821497524318
"334";334;"2020-09-28";209;121;198;17,29;24212,05;5649;"UB_Girones";"DMAN";136773870450;2,32014628611105;2,08278537031645;2,29666519026153;1,23779499327392;11,1360031368338;598052,629505642;72229,0439821029;8145,01070462747;928,68043228536;111,115535406837
"335";335;"2020-09-28";170;82;149;11,71;9047,08;21105;"UB_Girones";"DMAS";190938623400;2,23044892137827;1,91381385238372;2,17318626841227;1,06855689507236;11,2808937871304;837054,174807556;100228,784499408;11424,438192564;1293,91933917879;155,610893545617
"336";336;"2020-09-28";22;2;3;0,29;2576,11;2432;"UB_Girones";"DSLL";6265099520;1,34242268082221;0,301029995663981;0,477121254719662;-0,537602002101044;9,79692797407615;27391,865530836;3295,40270406426;372,25238015274;42,2021312437916;5,05854492619547
"337";337;"2020-09-28";543;267;547;38,14;7473,23;40621;"UB_Girones";"DGVC";303570075830;2,73479982958885;2,42651126136458;2,73798732633343;1,58138068870999;11,4822589591127;1315994,15412723;159882,442466337;18147,5139437563;2040,72335388724;246,026067569442
"338";338;"2020-09-28";549;279;677;39,86;5919,48;53120;"UB_Girones";"DSFL";314442777600;2,73957234445009;2,4456042032736;2,83058866868514;1,60053729436447;11,4975416239191;1382203,4304423;164704,219167411;18715,8932511055;2116,64893701511;254,572798934435
"339";339;"2020-09-28";95;39;122;5,57;1813,95;16731;"UB_Girones";"DVLG";30349197450;1,97772360528885;1,5910646070265;2,08635983067475;0,745855195173729;10,4821472111396;132395,240812437;15839,0422168771;1797,14367072141;205,157298497013;24,5399130988675
"340";340;"2020-09-28";427;188;392;26,86;6914,98;23341;"UB_Girones";"DMAT";161402548180;2,63042787502502;2,27415784926368;2,59328606702046;1,4291060083327;11,2079103869646;704178,341124548;84372,6295331326;9622,5191822264;1094,27613051559;131,124529952324
"341";341;"2020-09-28";250;129;304;18,43;24626,36;28130;"UB_Girones";"DVIC";692739506800;2,39794000867204;2,11058971029925;2,48287358360875;1,26552533521907;11,8405699560734;3048014,56579431;361654,506096506;41442,2716265972;4699,90940826349;561,71609892281
"342";342;"2020-09-28";820;427;1048;61;4638,55;39697;"UB_Girones";"DTRS";184136519350;2,91381385238372;2,63042787502502;3,02036128264771;1,78532983501077;11,2651399296193;804932,572053446;97328,5728114966;10913,0501776482;1249,86987493344;148,580973392907
"343";343;"2020-09-28";87;37;65;5,29;3081,12;8289;"UB_Girones";"DCPA";25539403680;1,93951925261862;1,56820172406699;1,81291335664286;0,723455672035186;10,407210752696;111427,391527425;13447,7623557304;1528,95955035308;172,891288483724;20,7430288624583
"344";344;"2020-09-28";59;30;77;4,29;3612,25;14833;"UB_Girones";"DOLO";53580504250;1,77085201164214;1,47712125471966;1,88649072517248;0,632457292184724;10,7290067964682;234422,544872175;28043,7378010029;3185,52169190296;363,504956770069;43,4191038440045
"345";345;"2020-09-28";23;11;35;1,57;1631,81;11450;"UB_Girones";"DLDM";18684224500;1,36172783601759;1,04139268515823;1,54406804435028;0,195899652409234;10,2714750769055;81542,4589446948;9790,12267783574;1114,53912968552;125,564243195819;15,1031193716081
