"";"X";"Data.mostreig";"darrers_14";"darrers_7";"set_i_set";"mitjana_7";"N1.Concentracio.final";"Cabal.influent.últimes.24h.calculat";"Laboratori";"EDAR";"load_N1";"log_14";"log_7";"log_7_7";"log_mean_7";"log_N1";"sim_median_1_5";"sim_median_2_4";"sim_median_3_3";"sim_median_4_2";"sim_median_5_1"
"20";20;"2020-07-13";82;46;227;6,57;3237,87;53044;"UB_Girones";"DSFL";171749576280;1,91381385238372;1,66275783168157;2,35602585719312;0,817565369559781;11,2348956742935;750033,577254147;90078,7021257759;10256,8254307067;1165,33658904903;139,103504893226
"21";21;"2020-07-13";1207;793;2750;113,29;25521,3;317575;"UB_Girones";"DBSS";8104926847500;3,08170727009735;2,8992731873176;3,43933269383026;2,05419157679643;12,9087490993979;35520064,0702896;4269934,17398454;481697,609144537;55327,6977059808;6566,33310236865
"22";22;"2020-07-13";30;16;52;2,29;27303,57;15932;"UB_Girones";"DVLG";435000477240;1,47712125471966;1,20411998265592;1,7160033436348;0,359835482339888;11,6384897334204;1904065,19442579;227393,305972371;25760,0629193936;2955,64232800136;352,88213678731
"23";23;"2020-07-13";53;34;108;4,86;22319,08;28091;"UB_Girones";"DMAT";626965276280;1,72427586960079;1,53147891704226;2,03342375548695;0,686636269262293;11,7972434886177;2741317,07225996;329747,113239325;37448,0470015896;4237,06630856342;511,292073644977
"24";24;"2020-07-13";48;33;85;4,71;22246,83;44760;"UB_Girones";"DTRS";995768110800;1,68124123737559;1,51851393987789;1,92941892571429;0,673020907128896;11,9981582140007;4359512,97516722;518121,917808667;59605,6855050716;6723,26721714365;808,103142564479
"25";25;"2020-07-13";37;11;23;1,57;7090,58;17244;"UB_Girones";"DOLO";122269961520;1,56820172406699;1,04139268515823;1,36172783601759;0,195899652409234;11,0873197755281;537164,677930839;63832,8081800862;7289,65216318047;826,023928299778;98,571523415805
"26";26;"2020-07-13";5;2;16;0,29;13132,82;9386;"UB_Girones";"DBLN";123264648520;0,698970004336019;0,301029995663981;1,20411998265592;-0,537602002101044;11,0908385416887;538446,903729119;64609,7687990696;7348,8393248794;834,399584041437;100,290150072777
"27";27;"2020-07-13";4;2;18;0,29;10891,1;8802;"UB_Girones";"DRIP";95863462200;0,602059991327962;0,301029995663981;1,25527250510331;-0,537602002101044;10,9816531098968;420353,307505234;50141,7674758884;5728,80355711389;645,236560878961;77,4290778660535
"28";28;"2020-07-20";27;26;39;3,71;4001,44;2679;"UB_Girones";"DSLL";10719857760;1,43136376415899;1,41497334797082;1,5910646070265;0,569373909615046;10,0301890228141;47063,3192909714;5634,59688725327;642,123359712233;72,6528453822891;8,68577882088787
"29";29;"2020-07-20";388;290;630;41,43;3986,14;46343;"UB_Girones";"DGVC";184729686020;2,58883172559421;2,46239799789896;2,79934054945358;1,61731493329829;11,2665366920765;806205,658822175;97121,9531349748;11021,1320229508;1248,64268557155;149,584640267556
"30";30;"2020-07-20";2750;1957;4159;279,57;53819,54;324759;"UB_Girones";"DBSS";17478379990860;3,43933269383026;3,291590825658;3,61898892036493;2,44649056645319;13,2425011769463;76191784,2025023;9152116,54083947;1044780,2347861;118317,785487716;14133,5939552644
"31";31;"2020-07-20";52;36;55;5,14;3359,38;15568;"UB_Girones";"DVLG";52298827840;1,7160033436348;1,55630250076729;1,74036268949424;0,710963118995276;10,7184919552473;228576,974124638;27302,7068286834;3131,99106813733;352,413437351361;42,3510179271454
"32";32;"2020-07-20";108;74;166;10,57;1911,85;26500;"UB_Girones";"DMAT";50664025000;2,03342375548695;1,86923171973098;2,22010808804005;1,02407498730743;10,7046996893205;221720,378383539;26316,6767101817;3017,35532957846;345,088435903756;41,25368442455
"33";33;"2020-07-20";39;32;73;4,57;1527,93;19692;"UB_Girones";"DVIC";30087997560;1,5910646070265;1,50514997831991;1,86332286012046;0,65991620006985;10,478393285195;131705,552724631;15782,7634575425;1789,51180805079;202,654347217039;24,3812073247286
"34";34;"2020-07-20";85;52;169;7,43;57814,19;1695,7;"UB_Girones";"DTRS";98035521983;1,92941892571429;1,7160033436348;2,22788670461367;0,870988813760575;10,9913834655494;428332,593994852;51287,3610803418;5803,58418510126;669,479312929416;79,6004669509742
"35";35;"2020-07-20";36;35;44;5;11194,52;13815;"UB_Girones";"DCPA";154652293800;1,55630250076729;1,54406804435028;1,64345267648619;0,698970004336019;11,1893563658348;677870,132780787;81116,7445745311;9223,0451476911;1047,0150027885;125,53080850252
"36";36;"2020-07-20";23;12;23;1,71;71289,1;15254;"UB_Girones";"DOLO";1087443931400;1,36172783601759;1,07918124604762;1,36172783601759;0,232996110392154;12,0364068739841;4760747,98863863;570718,976225271;65208,691481324;7402,54799036049;883,578647939715
"37";37;"2020-07-20";18;16;24;2,29;6422,04;6316;"UB_Girones";"DRIP";40561604640;1,25527250510331;1,20411998265592;1,38021124171161;0,359835482339888;10,6081151276002;178061,890963565;21234,8758676421;2432,59914744565;273,936382356697;32,8263444504073
"38";38;"2020-07-20";18;8;13;1,14;3444,39;12480;"UB_Girones";"DLDM";42985987200;1,25527250510331;0,903089986991944;1,11394335230684;0,0569048513364726;10,6333269050324;187606,656254113;22602,8664416912;2561,58027459519;290,298234214505;35,0289865078727
"39";39;"2020-07-20";41;33;58;4,71;5140,92;5987;"EURECAT";"DTOT";30778688040;1,61278385671974;1,51851393987789;1,76342799356294;0,673020907128896;10,4882501038278;134947,333282513;16133,0671498829;1836,69374150966;209,223400339412;24,8584818811379
"40";40;"2020-07-20";151;61;122;8,71;13366,69;7063;"EURECAT";"DBAL";94408931470;2,17897694729317;1,78532983501077;2,08635983067475;0,940018155007663;10,9750130822711;410622,883167642;49705,2041381411;5626,02328170364;640,23187508206;76,5710928797879
"41";41;"2020-07-20";1625;937;1596;133,86;8214,1;65165;"EURECAT";"DLLE";535271826500;3,21085336531489;2,97173959088778;3,20303288701471;2,12665082066748;11,728574385327;2341086,61711575;280978,9772473;31898,4675333486;3628,08949603284;435,211302800339
"42";42;"2020-07-20";15;7;11;1;5036,68;1748;"EURECAT";"DCER";8804116640;1,17609125905568;0,845098040014257;1,04139268515823;0;9,9446857876038;38445,7387603499;4593,42966153687;524,684736236679;59,5710142504197;7,1708339914117
"43";43;"2020-07-20";45;25;43;3,57;2840,63;3333;"EURECAT";"DTRG";9467819790;1,65321251377534;1,39794000867204;1,63346845557959;0,552668216112193;9,97624998299665;41600,2089615897;4974,38682524725;565,650504974288;64,3270261704676;7,69842790569127
"44";44;"2020-07-20";3;1;8;0,14;5129,03;3374;"EURECAT";"DMOF";17305347220;0,477121254719662;0;0,903089986991944;-0,853871964321762;10,2381803175404;75724,7923987474;9040,95061333066;1034,49727081077;117,470555458193;14,0920425182672
"45";45;"2020-07-20";1;1;3;0,14;3358,49;7223;"EURECAT";"DVIE";24258373270;0;0;0,477121254719662;-0,853871964321762;10,3848616743727;106114,94743774;12783,3274199956;1450,15217308472;164,339230045763;19,6778760010544
"46";46;"2020-07-20";133;113;287;16,14;3099,44;35242;"Virus Entèrics-UB";"DLLL";109230464480;2,12385164096709;2,05307844348342;2,45788189673399;1,20790353038605;11,0383437804052;480215,023199923;57263,443147355;6487,0265160867;735,464964287908;88,2464868904123
"47";47;"2020-07-20";6;4;18;0,57;3332;13856;"Virus Entèrics-UB";"DVEN";46168192000;0,778151250383644;0,602059991327962;1,25527250510331;-0,244125144327509;10,664342867408;202247,964607308;24251,0512156056;2757,82090775188;311,050535068132;37,5065655825713
"48";48;"2020-07-20";3059;2013;4132;287,57;10292,93;233112;"Virus Entèrics-UB";"DPDL";2399405498160;3,48557947698468;3,30384377488865;3,61616031284758;2,45874357742005;12,38010364969;10520258,1807786;1255549,96700085;142038,964421316;16247,409297864;1945,69368078397
"49";49;"2020-07-20";6;4;9;0,57;1090,54;5948,86;"Virus Entèrics-UB";"DBER";6487469784,4;0,778151250383644;0,602059991327962;0,954242509439325;-0,244125144327509;9,81207534812065;28380,6355898979;3403,28473386999;383,703550561317;44,1449945208148;5,25319569228588
"50";50;"2020-07-20";126;105;300;15;7698,13;23262;"Virus Entèrics-UB";"DSRS";179073900060;2,10037054511756;2,02118929906994;2,47712125471966;1,17609125905568;11,253032292237;782911,974868443;94107,7496672799;10689,7307201326;1207,17746353447;145,878483246988
"51";51;"2020-07-27";11;7;17;1;1045,45;9336;"UB_Girones";"DMAN";9760321200;1,04139268515823;0,845098040014257;1,23044892137827;0;9,98946410999172;42646,0712723013;5155,82517845812;581,374719948008;66,3905429166943;7,90910069825907
"52";52;"2020-07-27";630;325;614;46,43;2922,77;44000;"UB_Girones";"DGVC";128601880000;2,79934054945358;2,51188336097887;2,78816837114117;1,66679868366617;11,1092473174813;563821,767281149;67457,3669669718;7725,61548112384;873,029124698737;104,976807294706
"53";53;"2020-07-27";443;244;548;34,86;11002,45;48963;"UB_Girones";"DSFL";538712959350;2,64640372622307;2,38738982633873;2,73878055848437;1,54232738277397;11,731357423117;2350738,40557975;281818,269887163;32252,6802846112;3651,55481287903;436,8011777892
"54";54;"2020-07-27";4261;2186;4234;312,29;30672,87;312062;"UB_Girones";"DBSS";9571837157940;3,62951153420045;3,33965015761368;3,62675085368339;2,49455807768408;12,9809953015158;41669735,258765;5021547,9771879;571540,407751222;64838,9414766652;7722,2050898735
"55";55;"2020-07-27";48;11;53;1,57;1128,39;16302;"UB_Girones";"DVLG";18395013780;1,68124123737559;1,04139268515823;1,72427586960079;0,195899652409234;10,2647001175042;80639,7564411329;9628,66818298954;1098,43096906718;124,486183879167;14,98306636198
"56";56;"2020-07-27";158;87;176;12,43;5041,71;25724;"UB_Girones";"DMAT";129692948040;2,19865708695442;1,93951925261862;2,24551266781415;1,09447112864164;11,1129163622786;567566,077811984;68214,7706165435;7687,74160416438;875,109995939397;105,474777870937
"57";57;"2020-07-27";71;39;102;5,57;3643,11;20610;"UB_Girones";"DVIC";75084497100;1,85125834871908;1,5910646070265;2,00860017176192;0,745855195173729;10,8755502762991;328934,188857633;39345,2384447563;4452,00696512064;509,915900733889;60,4906073084355
"58";58;"2020-07-27";182;123;365;17,57;18194,02;40229,5;"UB_Girones";"DTRS";731936327590;2,26007138798507;2,0899051114394;2,56229286445647;1,24477176149529;11,8644733026717;3214548,55516649;382167,388603043;43292,7602495199;4952,15329536103;594,250228642061
"59";59;"2020-07-27";20;10;37;1,43;1938,72;16319;"UB_Girones";"DOLO";31637971680;1,30102999566398;1;1,56820172406699;0,155336037465062;10,5002086329666;138363,464576684;16685,8390829502;1884,71291125621;215,388282661068;25,5437264218245
"60";60;"2020-07-27";21;7;10;1;4821,73;7246;"UB_Girones";"DRIP";34938255580;1,32221929473392;0,845098040014257;1;0;10,5433012174502;152890,533758468;18338,6038552369;2075,35126720839;236,136392720696;28,3856999997539
"61";61;"2020-07-27";41;25;48;3,57;2863,76;9584;"UB_Girones";"DBLN";27446275840;1,61278385671974;1,39794000867204;1,68124123737559;0,552668216112193;10,4384834237638;120260,625362224;14456,9746804803;1633,8541206135;185,784674871174;22,2144591787764
"62";62;"2020-07-27";1596;659;1000;94,14;211555,07;62624;"EURECAT";"DLLE";13248424703680;3,20303288701471;2,81888541459401;3;1,97377419397058;13,1221642418071;58012745,7157369;6946548,36010471;786843,757285543;89214,3997777654;10775,7752065475
"63";63;"2020-07-27";2;0;0;0;62225,56;976;"EURECAT";"DPSU";60732146560;0,301029995663981;0;0;0;10,7834186314056;266144,877124025;31573,8230560713;3606,91177705954;411,244472054026;49,0661015968651
"64";64;"2020-07-27";43;18;38;2,57;5499,31;3981;"EURECAT";"DTRG";21892753110;1,63346845557959;1,25527250510331;1,57978359661681;0,409933123331295;10,3403003794436;95936,57351681;11456,4108593038;1304,98219852035;148,550479820512;17,7407332746401
