EDAR;Date;cases;N1 gc/l;HAdV gc/l;flow 24h;N1 total;HAdV total;N1/HAdV;N1 total log;cases log;HAdV log
DCPA;2020-08-31;47;4,05E+03;4,04E+03;1,35E+04;5,47E+10;5,45E+10;1,00;10,7379464;1,672097858;
DCPA;2020-08-17;37;1,76E+04;8,69E+02;1,35E+04;2,37E+11;1,17E+10;20,27;11,37552791;1,568201724;
DCPA;2020-08-03;12;4,15E+04;1,23E+05;1,91E+04;7,92E+11;2,34E+12;0,34;11,89854465;1,079181246;
DCPA;2020-07-20;35;1,12E+04;6,76E+04;1,38E+04;1,55E+11;9,34E+11;0,17;11,18935637;1,544068044;
DCPA;2020-07-06;4;7,62E+02;4,44E+04;1,42E+04;1,08E+10;6,32E+11;0,02;10,03495025;0,602059991;
DLDM;2020-10-26;58;6,27E+03;4,76E+04;8,38E+03;5,25E+10;3,99E+11;0,13;10,72053926;1,763427994;
DLDM;2020-10-12;36;1,33E+04;;9,13E+03;1,22E+11;;;11,08571059;1,556302501;
DLDM;2020-09-28;12;1,63E+03;;1,15E+04;1,87E+10;;;10,27147508;1,079181246;
DLDM;2020-09-14;18;5,05E+03;4,07E+02;1,05E+04;5,30E+10;4,28E+09;12,40;10,72468162;1,255272505;
DLDM;2020-08-31;6;2,06E+05;3,02E+03;1,34E+04;2,77E+12;4,06E+10;68,17;12,4422251;0,77815125;
DLDM;2020-08-17;18;2,26E+04;3,25E+04;1,40E+04;3,17E+11;4,54E+11;0,70;11,50082967;1,255272505;
DLDM;2020-08-03;5;3,15E+02;4,26E+03;1,70E+04;5,35E+09;7,24E+10;0,07;9,728745688;0,698970004;
DLDM;2020-07-20;9;3,44E+03;5,69E+03;1,25E+04;4,30E+10;7,10E+10;0,61;10,63332691;0,954242509;
DLDM;2020-07-06;3;6,10E+02;1,91E+04;1,39E+04;8,46E+09;2,65E+11;0,03;9,927377427;0,477121255;
DOLO;2020-10-26;264;6,07E+04;9,37E+04;1,56E+04;9,46E+11;1,46E+12;0,65;11,97605764;2,421603927;
DOLO;2020-10-19;156;2,13E+04;4,25E+04;1,76E+04;3,74E+11;7,46E+11;0,50;11,572442;2,193124598;
DOLO;2020-10-12;78;5,14E+03;8,57E+03;1,39E+04;7,12E+10;1,19E+11;0,60;10,85259537;1,892094603;
DOLO;2020-10-05;45;2,33E+04;4,83E+05;1,55E+04;3,61E+11;7,46E+12;0,05;11,55717038;1,653212514;
DOLO;2020-09-28;29;3,61E+03;;1,48E+04;5,36E+10;;;10,7290068;1,462397998;
DOLO;2020-09-21;29;7,29E+03;1,20E+05;1,74E+04;1,27E+11;2,08E+12;0,06;11,10384792;1,462397998;
DOLO;2020-09-14;12;9,04E+02;5,00E+04;1,55E+04;1,40E+10;7,75E+11;0,02;10,14629994;1,079181246;
DOLO;2020-09-07;37;4,97E+03;4,07E+02;1,40E+04;6,96E+10;5,70E+09;12,22;10,84268384;1,568201724;
DOLO;2020-08-31;24;3,21E+02;6,29E+03;1,54E+04;4,96E+09;9,71E+10;0,05;9,695198945;1,380211242;
DOLO;2020-08-24;42;4,56E+03;5,78E+04;1,43E+04;6,51E+10;8,25E+11;0,08;10,81341175;1,62324929;
DOLO;2020-08-17;19;1,09E+04;9,64E+02;1,46E+04;1,59E+11;1,41E+10;11,31;11,20142615;1,278753601;
DOLO;2020-08-10;28;1,99E+04;1,45E+04;1,45E+04;2,88E+11;2,10E+11;1,38;11,45968249;1,447158031;
DOLO;2020-08-03;19;3,14E+03;3,73E+03;1,57E+04;4,93E+10;5,84E+10;0,84;10,69285753;1,278753601;
DOLO;2020-07-27;10;1,94E+03;3,00E+02;1,63E+04;3,16E+10;4,90E+09;6,46;10,50020863;1;
DOLO;2020-07-20;12;7,13E+04;4,56E+03;1,53E+04;1,09E+12;6,95E+10;15,64;12,03640687;1,079181246;
DOLO;2020-07-13;11;7,09E+03;5,91E+03;1,72E+04;1,22E+11;1,02E+11;1,20;11,08731978;1,041392685;
DOLO;2020-07-06;26;1,63E+03;2,09E+03;1,68E+04;2,75E+10;3,52E+10;0,78;10,43915885;1,414973348;
DPAM;2020-10-26;261;1,06E+05;1,11E+05;1,42E+04;1,50E+12;1,58E+12;0,95;12,17620478;2,416640507;
DPAM;2020-10-19;180;1,00E+05;1,26E+05;1,35E+04;1,35E+12;1,70E+12;0,80;12,13059357;2,255272505;
DPAM;2020-10-05;43;2,28E+03;3,88E+04;1,40E+04;3,18E+10;5,42E+11;0,06;10,50229466;1,633468456;
DPAM;2020-09-21;32;4,29E+02;2,93E+04;1,47E+04;6,30E+09;4,31E+11;0,01;9,799575388;1,505149978;
DPAM;2020-09-07;37;8,72E+03;2,57E+02;1,85E+04;1,61E+11;4,76E+09;33,92;11,20779321;1,568201724;
DPAM;2020-08-24;30;5,94E+03;3,24E+04;2,04E+04;1,21E+11;6,61E+11;0,18;11,08408484;1,477121255;
DPAM;2020-08-10;7;4,16E+03;1,35E+03;2,36E+04;9,79E+10;3,17E+10;3,09;10,99073453;0,84509804;
DPAM;2020-07-27;11;1,93E+02;2,44E+03;2,51E+04;4,85E+09;6,14E+10;0,08;9,685555608;1,041392685;
DPAM;2020-07-13;2;4,00E+02;3,48E+03;1,89E+04;7,58E+09;6,59E+10;0,11;9,879508751;0,301029996;
DRIP;2020-10-26;48;3,55E+04;2,62E+04;6,71E+03;2,38E+11;1,76E+11;1,36;11,3772992;1,681241237;
DRIP;2020-10-19;39;2,90E+04;1,23E+04;6,92E+03;2,01E+11;8,54E+10;2,35;11,30272586;1,591064607;
DRIP;2020-10-12;29;8,99E+03;1,00E+04;6,74E+03;6,06E+10;6,76E+10;0,90;10,78262073;1,462397998;
DRIP;2020-10-05;16;3,59E+03;5,00E+04;6,87E+03;2,46E+10;3,44E+11;0,07;10,39174259;1,204119983;
DRIP;2020-09-28;4;1,04E+03;;6,01E+03;6,27E+09;;;9,796994897;0,602059991;
DRIP;2020-09-21;14;1,02E+03;2,10E+04;1,08E+04;1,10E+10;2,26E+11;0,05;10,0420721;1,146128036;
DRIP;2020-09-14;27;2,37E+03;4,98E+04;6,48E+03;1,54E+10;3,23E+11;0,05;10,18613873;1,431363764;
DRIP;2020-09-07;6;1,20E+04;3,04E+02;6,97E+03;8,35E+10;2,12E+09;39,47;10,92167619;0,77815125;
DRIP;2020-08-31;2;8,80E+03;3,21E+02;9,69E+03;8,53E+10;3,11E+09;27,38;10,93072287;0,301029996;
DRIP;2020-08-24;3;2,14E+02;1,59E+04;5,76E+03;1,23E+09;9,15E+10;0,01;9,089646576;0,477121255;
DRIP;2020-08-17;0;4,07E+02;7,82E+03;5,60E+03;2,28E+09;4,38E+10;0,05;9,358009345;#NUM!;
DRIP;2020-08-10;2;5,66E+03;6,00E+03;5,69E+03;3,22E+10;3,42E+10;0,94;10,50794068;0,301029996;
DRIP;2020-08-03;2;1,72E+04;;6,01E+03;1,04E+11;;;11,01501249;0,301029996;
DRIP;2020-07-27;7;4,82E+03;7,66E+03;7,25E+03;3,49E+10;5,55E+10;0,63;10,54330122;0,84509804;
DRIP;2020-07-20;16;6,42E+03;3,46E+03;6,32E+03;4,06E+10;2,19E+10;1,85;10,60811513;1,204119983;
DRIP;2020-07-13;2;1,09E+04;7,29E+03;8,80E+03;9,59E+10;6,42E+10;1,49;10,98165311;0,301029996;
DRIP;2020-07-06;2;4,57E+02;2,89E+03;6,68E+03;3,05E+09;1,93E+10;0,16;9,484890696;0,301029996;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;-0,048131857;;;;;
