EDAR;Date;cases;N1 gc/l;HAdV gc/l;flow 24h;N1 total;HAdV total;N1/HAdV;N1 total log;cases log;HAdV log
DGVC;2020-08-31;365;1,12E+04;1,25E+03;4,00E+04;4,48E+11;4,99E+10;8,99;11,65148348;2,562292864;10,6978742
DGVC;2020-08-24;277;1,18E+05;8,51E+04;4,21E+04;4,96E+12;3,58E+12;1,39;12,69580512;2,442479769;12,55423636
DGVC;2020-08-17;249;7,22E+04;;4,06E+04;2,93E+12;;;12,46712458;2,396199347;#NUM!
DGVC;2020-08-10;266;1,59E+03;1,91E+03;4,06E+04;6,44E+10;7,77E+10;0,83;10,80872394;2,424881637;10,89025611
DGVC;2020-08-03;285;9,05E+03;2,61E+05;5,32E+04;4,81E+11;1,39E+13;0,03;11,68217941;2,45484486;13,1427711
DGVC;2020-07-27;329;2,92E+03;6,47E+03;4,40E+04;1,29E+11;2,85E+11;0,45;11,10924732;2,517195898;11,45460055
DGVC;2020-07-20;299;3,99E+03;3,94E+04;4,63E+04;1,85E+11;1,83E+12;0,10;11,26653669;2,475671188;12,262024
DGVC;2020-07-13;99;3,09E+03;1,51E+04;4,60E+04;1,42E+11;6,95E+11;0,20;11,15314196;1,995635195;11,84191737
DGVC;2020-07-06;48;6,86E+02;3,42E+04;5,06E+04;3,47E+10;1,73E+12;0,02;10,54001626;1,681241237;12,23730018
DIGU;2020-10-26;219;1,86E+03;1,00E+05;2,19E+04;4,07E+10;2,20E+12;0,02;10,60982676;2,340444115;
DIGU;2020-10-19;188;4,35E+03;5,66E+04;2,07E+04;9,03E+10;1,17E+12;0,08;10,95559235;2,274157849;
DIGU;2020-10-12;216;1,03E+04;3,11E+04;2,00E+04;2,06E+11;6,22E+11;0,33;11,31426409;2,334453751;
DIGU;2020-10-05;89;6,80E+02;5,03E+04;2,11E+04;1,44E+10;1,06E+12;0,01;10,1570489;1,949390007;
DIGU;2020-09-28;45;5,29E+02;;2,00E+04;1,06E+10;;;10,02394761;1,653212514;
DIGU;2020-09-21;56;6,55E+02;4,64E+04;2,43E+04;1,59E+10;1,13E+12;0,01;10,2010126;1,748188027;
DIGU;2020-09-14;49;6,59E+03;7,11E+04;2,25E+04;1,48E+11;1,60E+12;0,09;11,17090518;1,69019608;
DIGU;2020-09-07;24;8,25E+04;1,17E+04;2,15E+04;1,77E+12;2,50E+11;7,07;12,24770697;1,380211242;
DIGU;2020-08-31;52;3,76E+04;1,30E+03;2,25E+04;8,44E+11;2,92E+10;28,88;11,9264239;1,716003344;
DIGU;2020-08-24;37;7,12E+03;1,47E+04;1,91E+04;1,36E+11;2,80E+11;0,49;11,1339918;1,568201724;
DIGU;2020-08-17;25;1,18E+04;3,28E+04;2,13E+04;2,53E+11;6,99E+11;0,36;11,40235686;1,397940009;
DIGU;2020-08-10;36;1,67E+04;2,23E+04;2,08E+04;3,49E+11;4,63E+11;0,75;11,5423644;1,556302501;
DIGU;2020-08-03;68;6,25E+04;4,65E+05;2,44E+04;1,52E+12;1,13E+13;0,13;12,18289796;1,832508913;
DIGU;2020-07-27;117;2,14E+02;7,94E+03;2,29E+04;4,91E+09;1,82E+11;0,03;9,691368078;2,068185862;
