EDAR provincia;EDAR;Data mostreig;Mitjana darrers 7 dies (promig);Nº casos darrers 7 dies (acum);Nº casos darrers 14 dies (acum);Nº casos darrers 7 dies i següents 7 dies;Nº casos dia -7;Nº casos dia -6;Nº casos dia -5;Nº casos dia -4;Nº casos dia -3;Nº casos dia -2;Nº casos dia -1;Nº casos dia 0;Nº casos dia 1;Nº casos dia 2;Nº casos dia 3;Nº casos dia 4;Nº casos dia 5;Nº casos dia 6;Nº casos dia 7;Nº habitants municipis assistits EDAR;ID mostra;Laboratori;Mètode concentració;Data Concentració;Control intern proces/Concentració;Concentració de l'estoc/Concentracio;Volum afegit/Concentració;Data anàlisi molecular;Volum mostra processat;Volum control intern;Volum concentrat;Factor concentració;Volum de concentrat per extracció;Volum extracte RNA;Volum RNA per RT-qPCR;Volum equivalent analitzat;Observacions mostra;Control interno;CI Limit of detection (LDt);CI Limit of detection (LDe);CI Limit of detection (LQe);CI Ct (1)/rep#1;CI Ct (1)/rep#2;CI Ct (1/10)/rep#1;CI Ct (1/10)/rep#2;CI Concentracio final;CI Categoria;CI % Recuperació;N1 Nom diana;N1 Limit of detection (LDt);N1 Limit of detection (LDe);N1 Limit of detection (LQe);N1 Ct (1)/rep#1;N1 Ct (1)/rep#2;N1 Ct (1/10)/rep#1;N1 Ct (1/10)/rep#2;N1 Concentracio final;N1 Categoria;N1 càrrega;N1 spline;N1 tendència concentració;N1 tendència càrrega;N1 tendència spline;N2 Nom diana;N2 Limit of detection (LDt);N2 Limit of detection (LDe);N2 Limit of detection (LQe);N2 Ct (1)/rep#1;N2 Ct (1)/rep#2;N2 Ct (1/10)/rep#1;N2 Ct (1/10)/rep#2;N2 Concentracio final;N2 Categoria;N2 càrrega;N2 spline;N2 tendència concentració;N2 tendència càrrega;N2 tendència spline;IP4 Nom diana;IP4 Limit of detection (LDt);IP4 Limit of detection (LDe);IP4 Limit of detection (LQe);IP4 Ct (1)/rep#1;IP4 Ct (1)/rep#2;IP4 Ct (1/10)/rep#1;IP4 Ct (1/10)/rep#2;IP4 Concentracio final;IP4 Categoria;IP4 càrrega;IP4 spline;IP4 tendència concentració;IP4 tendència càrrega;IP4 tendència spline;E Nom diana;E Limit of detection (LDt);E Limit of detection (LDe);E Limit of detection (LQe);E Ct (1)/rep#1;E Ct (1)/rep#2;E Ct (1/10)/rep#1;E Ct (1/10)/rep#2;E Concentracio final;E Categoria;E càrrega;E spline;E tendència concentració;E tendència càrrega;E tendència spline;Adenovirus humans Nom diana;Adenovirus humans Limit of detection (LDt);Adenovirus humans Limit of detection (LDe);Adenovirus humans Limit of detection (LQe);Adenovirus humans Ct (1)/rep#1;Adenovirus humans Ct (1)/rep#2;Adenovirus humans Ct (1/10)/rep#1;Adenovirus humans Ct (1/10)/rep#2;Adenovirus humans Concentracio final;Adenovirus humans Categoria;Adenovirus humans càrrega;Adenovirus humans spline;Adenovirus humans tendència concentració;Adenovirus humans tendència càrrega;Adenovirus humans tendència spline;Slope;Trend;LowCI;HighCI;PDC;x;y;LLoc presa de mostra;Retorns al punt de mostreig;Tipus mostreig;Mostra integrada de;Tipus mostra integrada;Funcionament correcte mostrejador;Nº ampolles submostra;Freqüència de succió del mostrejador;Inici mostreig;Final mostreig;Cabal influent últimes 24h;Cabal influent últimes 24h calculat;Cabal màxim registrat;Cabal mínim registrat;Aigua residual de font industrial;Temperatura aigua residual entrada;Precipitació registrada últimes 24h;Conductivitat;SST;SSV;NO2;NO3;PO4;NH4;TKN;TP;pH;DQO;DQO filtrada;DBO5;E. coli;Observacions;Mostra enviada;CI Control interno;MS2  Nom diana;MS2  Limit of detection (LDt);MS2  Limit of detection (LDe);MS2  Limit of detection (LQe);MS2  Ct (1)/rep#1;MS2  Ct (1)/rep#2;MS2  Ct (1/10)/rep#1;MS2  Ct (1/10)/rep#2;MS2  Concentracio final;MS2  Categoria; Nom diana; Limit of detection (LDt); Limit of detection (LDe); Limit of detection (LQe); Ct (1)/rep#1; Ct (1)/rep#2; Ct (1/10)/rep#1; Ct (1/10)/rep#2; Concentracio final; Categoria;N1r Nom diana;N1r Limit of detection (LDt);N1r Limit of detection (LDe);N1r Limit of detection (LQe);N1r Ct (1)/rep#1;N1r Ct (1)/rep#2;N1r Ct (1/10)/rep#1;N1r Ct (1/10)/rep#2;N1r Concentracio final;N1r Categoria;N2r Nom diana;N2r Limit of detection (LDt);N2r Limit of detection (LDe);N2r Limit of detection (LQe);N2r Ct (1)/rep#1;N2r Ct (1)/rep#2;N2r Ct (1/10)/rep#1;N2r Ct (1/10)/rep#2;N2r Concentracio final;N2r Categoria
Barcelona;DBER;2021-11-22;2.71;19;29;38;3;6;3;3;4;0;0;2;2;4;5;3;1;1;1;16494;DBER-2021-11-22;Virus Enterics-UB;Al(Oh)3;2021-11-22;TGEV;100000000.00;10.00;2021-11-23;200.00;10.00;2.70;74.07;150.00;100.00;5.00;0.56;Del69-70:Totes dues rèpliques directes positives. Les rèpliques 1/10 negatives;TGEV;1800.00;1800.00;0.00;25.90;25.73;28.75;28.96;2612023.06;3.16;52.2405;N1;1800.00;55800.00;51210.00;33.73;33.70;38.94;36.24;171019.86;1.98;827618129739.02;1386562090641.00;-0,3567;-0,338231723;0,518149986;;;;;;;;;;;;;;;;IP4;1800.00;147600.00;79182.00;39.87;37.72;39.83;39.62;290835.47;2.21;1407443010081.41;1146409720464.00;0,4053;0,42379896;0,313091525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,050957143;INCREASE;0,050957143;0,050957143;12,44940009;"0; 0; 7";"5.2330; 5.2330; 5.5897";Després de dessorrador/desgreixador;TRUE;Automàtic;24h;;1;24;20 min;2021-11-22;2021-11-23;4839.31;4839,31;352.42;107.58;10.00;11.00;6.00;1088.00;232.00;0.00;0.00;0.00;0.00;25.92;34.38;6.06;6.70;499.00;0.00;0.00;0.00;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lleida;DBBL;2021-11-22;1.86;13;17;41;0;2;2;0;4;3;2;10;5;2;4;5;1;0;1;6087;DBBL-2021-11-22;EURECAT;ULTRAFILTRACIO INNOVAPREP;2021-11-23;MS2;65400000.00;1000.00;2021-11-24;70.00;1000.00;0.47;148.94;250.00;70.00;5.00;2.66;;MS2;376.00;376.00;3760.00;100.00;100.00;27.06;26.70;12098288.71;4.51;1.2949;N1;376.00;376.00;3760.00;33.82;33.30;36.98;37.64;18910.21;1.70;48429043352.94;32082402810.50;0,666;1,635516037;0,215846553;N2;376.00;376.00;3760.00;33.46;33.76;36.25;100.00;13458.80;1.55;34467976035.82;24196672239.63;1,5183;1,830889166;0,344749902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,001825;PLATEAU;-0,349317153;0,352967153;0,421105949;"0; 14; 28";"4.2767; 2.9537; 4.3278";Després de dessorrador/desgreixador;TRUE;Automàtic;24h;;1;24;20 min;2021-11-22;2021-11-23;2561.00;2561;0.00;0.00;0.00;11.00;10.00;1160.00;109.00;0.00;0.00;0.27;2.29;33.50;33.93;3.32;7.39;298.00;80.00;180.00;0.00;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Girona;DBAY;2021-11-22;4.43;31;48;89;7;5;0;8;6;4;1;7;6;7;12;4;6;3;13;27959;DBAY-2021-11-22;Virus Enterics-UB;Al(Oh)3;2021-11-22;TGEV;100000000.00;10.00;2021-11-23;200.00;10.00;3.30;60.61;150.00;100.00;5.00;0.45;;TGEV;2200.00;2200.00;0.00;26.04;25.93;29.18;29.12;2725228.97;3.09;54.5046;N1;2200.00;68200.00;62590.00;32.59;32.47;35.55;35.37;533918.41;2.39;5804760925800.18;3900817248584.39;0,8029;0,821189975;0,165423548;;;;;;;;;;;;;;;;IP4;2200.00;180400.00;96778.00;36.79;37.04;42.29;41.43;152890.11;1.84;1662221230122.49;1548313794148.25;0,2547;0,460369465;0,295246472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,1147;DECREASE;-0,1147;-0,1147;-23,2108253;"0; 0; 7";"5.7275; 5.7275; 4.9246";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;20 min;2021-11-22;2021-11-23;10872.00;10872;731.00;306.00;15.00;19.20;4.40;2740.00;2256.00;410.00;1.35;1.31;2.38;35.00;61.30;4.15;7.97;495.00;172.00;310.00;0.00;"Els nitrits no els haviem vist més gran que ; sobte.
MES: 201
Sulfats:524
Pluja:4.4 caiguts entre les8 i les 9 del matí de dilluns";TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Girona;DBAY;2021-11-22;4.43;31;48;89;7;5;0;8;6;4;1;7;6;7;12;4;6;3;13;27959;DBAY-2021-11-22;Virus Enterics-UB;Al(Oh)3;2021-11-22;TGEV;100000000.00;10.00;2021-11-23;200.00;10.00;3.30;60.61;150.00;100.00;5.00;0.45;Del69-70: Dues rèpliques positives de la dil·lució 1/10. Les dues directes negatives.;TGEV;2200.00;2200.00;0.00;26.04;25.93;29.18;29.12;2725228.97;3.09;54.5046;N1;2200.00;68200.00;62590.00;32.59;32.47;35.55;35.37;533918.41;2.39;5804760925800.18;3900817248584.39;0,8029;0,821189975;0,165423548;;;;;;;;;;;;;;;;IP4;2200.00;180400.00;96778.00;36.79;37.04;42.29;41.43;152890.11;1.84;1662221230122.49;1548313794148.25;0,2547;0,460369465;0,295246472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,1147;DECREASE;-0,1147;-0,1147;-23,2108253;"0; 0; 7";"5.7275; 5.7275; 4.9246";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;20 min;2021-11-22;2021-11-23;10872.00;10872;731.00;306.00;15.00;19.20;4.40;2740.00;2256.00;410.00;1.35;1.31;2.38;35.00;61.30;4.15;7.97;495.00;172.00;310.00;0.00;"Els nitrits no els haviem vist més gran que ; sobte.
MES: 201
Sulfats:524
Pluja:4.4 caiguts entre les8 i les 9 del matí de dilluns";TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lleida;DBAL;2021-11-22;3.43;24;36;74;0;2;8;2;4;2;6;3;0;7;2;4;9;10;15;19038;DBAL-2021-11-22;EURECAT;ULTRAFILTRACIO INNOVAPREP;2021-11-23;MS2;65400000.00;1000.00;2021-11-24;70.00;1000.00;0.46;152.17;250.00;70.00;5.00;2.72;;MS2;368.00;368.00;3680.00;100.00;100.00;24.45;25.50;44879314.22;5.09;4.8036;N1;368.00;368.00;3680.00;32.72;34.47;35.92;34.78;44694.63;2.08;354339029617.44;793939566022.00;-0,6316;-0,628198995;0,185853774;N2;368.00;368.00;3680.00;32.23;32.43;35.87;35.78;33109.60;1.95;262492901440.33;379154213236.88;-0,2743;-0,270909793;1,190542866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,159192857;PLATEAU;-1,068431139;0,750045425;-30,68820552;"0; 7; 14";"4.6503; 5.2819; 2.4216";Després de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;20 min;2021-11-22;2021-11-23;7928.00;7928;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tarragona;DAMP;2021-11-22;2.57;18;29;49;4;5;2;0;3;1;3;9;1;4;1;3;7;4;2;20738;DAMP-2021-11-22;EURECAT;ULTRAFILTRACIO INNOVAPREP;2021-11-23;MS2;65400000.00;1000.00;2021-11-24;70.00;1000.00;0.47;148.94;250.00;70.00;5.00;2.66;;MS2;376.00;376.00;3760.00;100.00;100.00;25.24;25.30;35402737.45;4.97;3.7893;N1;376.00;376.00;3760.00;35.86;35.08;100.00;100.00;5854.11;1.19;31594611046.44;31499853628.91;-0,5438;-0,339674225;0,162327577;N2;376.00;376.00;3760.00;36.02;36.76;38.29;100.00;2673.76;0.85;14430299078.96;22663841408.49;1,0287;1,084716328;NaN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,053635714;PLATEAU;-0,532353484;0,425082056;-11,61790624;"0; 7; 14";"3.7675; 4.3113; 3.0166";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;20 min;2021-11-22;2021-11-23;5397.00;5397;0.00;0.00;0.00;19.00;0.00;2134.00;373.00;0.00;0.20;0.90;0.00;42.70;0.00;7.31;7.36;709.00;0.00;430.00;0.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DABR;2021-11-22;9.86;69;132;154;4;10;15;20;11;4;5;14;13;8;8;14;7;5;16;65160;DABR-2021-11-22;Virus Enterics-UB;Al(Oh)3;2021-11-22;TGEV;100000000.00;10.00;2021-11-23;200.00;10.00;2.80;71.43;150.00;100.00;5.00;0.54;;TGEV;1866.67;1866.67;0.00;25.14;25.26;29.52;28.62;3112574.49;3.22;62.2515;N1;1866.67;57866.67;53106.67;32.54;32.03;35.98;35.27;467430.55;2.40;7354084853229.66;5492563888801.50;-0,0168;-0,005749995;-0,023247988;;;;;;;;;;;;;;;;IP4;1866.67;153066.67;82114.67;37.90;37.79;39.68;38.19;552152.17;2.47;8687010150915.17;5271709571248.00;0,287;0,297903655;0,007477043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0024;INCREASE;0,0024;0,0024;0,554150186;"0; 0; 7";"5.6697; 5.6697; 5.6865";Abans de dessorrador/desgreixador;TRUE;Automàtic;24h;;1;24;15 min;2021-11-22;2021-11-23;15733.00;15733;1106.00;430.00;20.00;18.40;0.00;1810.00;395.00;0.00;0.96;1.76;0.00;38.60;0.00;6.17;8.00;532.00;180.00;0.00;0.00;"El 8/9/21 s'ha posat en marxa el mostrejador automàtic refrigerat a 4ºC i amb les 24 submostres corresponents.
La programació de mostreig és de 70ml cada 15min per obtenir la mostra integrada que es demana. Cal tenir en compte que el cabal d'entrada a l'EDAR és molt constant.
El registre de la precipitació de les últimes 24 hores s'agafa amb pluviòmetre.";TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DABR;2021-11-22;9.86;69;132;154;4;10;15;20;11;4;5;14;13;8;8;14;7;5;16;65160;DABR-2021-11-22;Virus Enterics-UB;Al(Oh)3;2021-11-22;TGEV;100000000.00;10.00;2021-11-23;200.00;10.00;2.80;71.43;150.00;100.00;5.00;0.54;Del69-70: Totes quatre rèpliques negatives;TGEV;1866.67;1866.67;0.00;25.14;25.26;29.52;28.62;3112574.49;3.22;62.2515;N1;1866.67;57866.67;53106.67;32.54;32.03;35.98;35.27;467430.55;2.40;7354084853229.66;5492563888801.50;-0,0168;-0,005749995;-0,023247988;;;;;;;;;;;;;;;;IP4;1866.67;153066.67;82114.67;37.90;37.79;39.68;38.19;552152.17;2.47;8687010150915.17;5271709571248.00;0,287;0,297903655;0,007477043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0024;INCREASE;0,0024;0,0024;0,554150186;"0; 0; 7";"5.6697; 5.6697; 5.6865";Abans de dessorrador/desgreixador;TRUE;Automàtic;24h;;1;24;15 min;2021-11-22;2021-11-23;15733.00;15733;1106.00;430.00;20.00;18.40;0.00;1810.00;395.00;0.00;0.96;1.76;0.00;38.60;0.00;6.17;8.00;532.00;180.00;0.00;0.00;"El 8/9/21 s'ha posat en marxa el mostrejador automàtic refrigerat a 4ºC i amb les 24 submostres corresponents.
La programació de mostreig és de 70ml cada 15min per obtenir la mostra integrada que es demana. Cal tenir en compte que el cabal d'entrada a l'EDAR és molt constant.
El registre de la precipitació de les últimes 24 hores s'agafa amb pluviòmetre.";TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CP;;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;CP-2021-11-22;UB_Girones;ultrafiltració;2021-11-23;MS2;2559170000.00;1000.00;2021-11-24;80.00;800.00;0.30;266.67;140.00;70.00;5.00;2.67;;MS2;375.00;1631.25;3540.00;16.70;17.31;20.19;20.29;6193674716.49;7.22;24.2019;N1;375.00;1901.25;3622.50;100.00;100.00;100.00;100.00;375.00;0.00;NaN;;0;NaN;NaN;N2;375.00;1631.25;3540.00;100.00;100.00;100.00;100.00;375.00;0.00;NaN;;0;NaN;NaN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;NaN;NaN;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DVLG;2021-11-15;5.71;40;86;176;4;7;11;4;13;1;0;21;10;8;15;25;13;7;37;97805;DVLG-2021-11-15;UB_Girones;ultrafiltració;2021-11-16;MS2;68900000.00;1000.00;2021-11-17;80.00;800.00;0.76;105.96;140.00;70.00;5.00;1.06;;MS2;943.75;4105.31;8909.00;24.30;25.14;27.19;27.16;65764677.55;4.84;9.5449;N1;943.75;4784.81;9116.63;36.60;38.66;100.00;100.00;24044.34;1.41;478001473731.65;72003757655.59;0,822;1,537650593;-0,365562252;N2;943.75;4105.31;8909.00;36.26;36.33;100.00;37.30;4010.27;0.63;79724089978.30;45859294984.63;1,3758;1,129011178;NaN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,025951181;PLATEAU;-0,906189291;0,958091654;6,157621906;"0; 7; 13";"4.3810; 2.9432; 4.8036";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;20 min;2021-11-15;2021-11-16;19880.00;19880;899.40;447.00;30.00;22.40;0.10;2310.00;120.00;0.00;0.00;5.03;0.00;38.51;92.40;4.33;7.64;300.00;0.00;0.00;0.00;Mostrejador refrigerat amb plaques de gel;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DVIC;2021-11-15;7.14;50;92;156;5;8;6;3;15;7;6;17;12;12;19;6;8;6;26;56746;DVIC-2021-11-15;UB_Girones;ultrafiltració;2021-11-16;MS2;68900000.00;1000.00;2021-11-17;80.00;800.00;0.30;266.67;140.00;70.00;5.00;2.67;;MS2;375.00;1631.25;3540.00;21.74;20.94;25.33;25.45;138938244.71;5.57;20.1652;N1;375.00;1901.25;3622.50;36.30;34.81;100.00;100.00;35077.93;1.97;805213964478.29;117096182916.25;0,3918;0,451970536;-0,190275353;N2;375.00;1631.25;3540.00;32.87;32.98;38.03;37.75;5844.12;1.19;134151801590.60;160827042583.56;-0,164;-0,103815255;0,405362669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,067116327;PLATEAU;-0,281085817;0,146853164;-14,31916831;"0; 14; 21";"4.5450; 4.1532; 2.9986";Després de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;1 h;2021-11-15;2021-11-16;22955.00;22955;0.00;0.00;20.00;0.00;0.60;1935.00;84.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.19;569.00;0.00;0.00;0.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tarragona;DVEN;2021-11-15;1.86;13;18;52;0;1;2;3;5;2;0;5;3;5;2;5;7;6;6;50062;DVEN-2021-11-15;Virus Enterics-UB;Al(Oh)3;2021-11-15;TGEV;100000000.00;10.00;2021-11-16;200.00;10.00;3.40;58.82;150.00;100.00;5.00;0.44;;TGEV;2266.67;2266.67;0.00;25.17;25.76;28.28;28.32;3197811.09;3.15;63.9562;N1;2266.67;70266.67;64486.67;35.29;34.55;39.87;39.87;46478.46;1.31;511960186400.88;3276290377748.25;-0,5568;-0,712101782;0,188370347;;;;;;;;;;;;;;;;IP4;2266.67;185866.67;99710.67;38.74;39.24;42.72;40.60;40466.36;1.25;445736924288.98;1998176371426.00;-0,2029;-0,607552919;0,173867531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,014527559;PLATEAU;-0,475396657;0,446341539;-3,289764478;"0; 7; 13";"4.6673; 5.3663; 4.4363";Altres;FALSE;Automàtic;24h;;1;24;15 min;2021-11-15;2021-11-16;11015.00;11015;651.00;471.00;0.00;20.40;0.00;4190.00;170.00;0.00;0.00;0.00;0.00;42.00;0.00;4.92;7.70;352.00;0.00;0.00;0.00;el lloc de presa de mostra altres,es un picatge del bombament principal , ja que d'aquests punt no s'agafen retorns;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DVDP;2021-11-15;10.14;71;161;241;13;13;14;12;10;8;1;21;22;26;21;27;12;5;36;67381;DVDP-2021-11-15;Virus Enterics-UB;Al(Oh)3;2021-11-15;TGEV;100000000.00;10.00;2021-11-16;200.00;10.00;3.10;64.52;150.00;100.00;5.00;0.48;;TGEV;2066.67;2066.67;0.00;25.90;25.99;28.96;28.83;2043784.84;3.00;40.8757;N1;2066.67;64066.67;58796.67;31.43;31.79;34.87;34.42;683663.15;2.52;11982564098898.03;8984777590250.00;0,5744;NaN;NaN;;;;;;;;;;;;;;;;IP4;2066.67;169466.67;90912.67;35.40;35.53;40.91;38.78;191618.28;1.97;3358493568200.89;7157861378522.00;0,2114;NaN;NaN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NaN;ERROR;NaN;NaN;NaN;"0; NaN; 13";"5.8348; 5.2604; 4.5759";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;Composta en relació al cabal (diferent volum per ampolla);1;24;20 min;2021-11-15;2021-11-16;17527.00;17527;1479.00;346.00;10.00;23.00;0.40;1986.00;217.00;0.00;0.02;0.50;0.00;40.90;0.00;7.80;7.80;534.00;0.00;0.00;0.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;DTRS;2021-11-15;17.00;119;185;373;15;20;15;24;21;12;12;27;25;24;31;45;31;14;57;250023;DTRS-2021-11-15;UB_Girones;ultrafiltració;2021-11-16;MS2;68900000.00;1000.00;2021-11-17;80.00;800.00;0.58;137.93;140.00;70.00;5.00;1.38;;MS2;725.00;3153.75;6844.00;24.00;23.85;25.99;26.09;98402433.47;5.13;14.2819;N1;725.00;3675.75;7003.50;37.82;38.48;39.16;100.00;18585.95;1.41;745468506257.95;545808946412.00;0,5852;0,604705695;0,055493526;N2;725.00;3153.75;6844.00;37.09;34.38;37.15;38.29;5138.11;0.85;206085700483.86;502721250087.00;-0,4873;-0,592248748;0,143612438;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,127524409;PLATEAU;-0,304500899;0,04945208;-25,44520325;"0; 7; 13";"4.2692; 3.6840; 2.5952";Després de dessorrador/desgreixador;TRUE;Automàtic;24h;;1;24;20 min;2021-11-15;2021-11-16;40109.26;40109,26;2625.00;666.00;55.00;0.00;0.10;2920.00;216.00;0.00;0.21;0.74;0.00;36.50;86.10;10.10;8.01;609.00;0.00;320.00;0.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lleida;DTRP;2021-11-15;1.29;9;10;36;1;0;1;1;0;3;3;7;2;1;2;2;3;2;8;6429;DTRP-2021-11-15;EURECAT;Ultrafiltració innovaprep;2021-11-16;MS2;57800000000.00;1000.00;2021-11-18;70.00;1000.00;0.28;250.00;250.00;70.00;5.00;4.46;;MS2;224.00;224.00;0.00;100.00;100.00;29.91;29.97;75738010282.75;8.53;9.1724;N1;224.00;224.00;0.00;100.00;38.23;100.00;100.00;1463.60;0.82;2829134909.41;412110944238.28;0,5721;0,503683037;NaN;N2;224.00;224.00;0.00;100.00;39.30;100.00;100.00;790.00;0.55;1527064843.03;319150815767.38;0,3043;0,235886858;NaN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,000718761;PLATEAU;-0,143844245;0,142406724;-0,16536387;"0; 13; 28";"3.1654; 2.5933; 3.1191";Després de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;20 min;2021-11-15;2021-11-16;1933.00;1933;103.00;39.00;0.00;20.10;0.00;0.00;49.00;0.00;0.10;1.10;0.00;12.70;14.80;4.70;7.00;94.90;0.00;43.00;0.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lleida;DTRG;2021-11-15;5.14;36;62;106;8;3;7;1;11;4;2;11;9;6;4;12;1;11;16;17098;DTRG-2021-11-15;EURECAT;Ultrafiltració innovaprep;2021-11-16;MS2;57800000000.00;1000.00;2021-11-18;70.00;1000.00;0.44;159.09;250.00;70.00;5.00;2.84;;MS2;352.00;352.00;0.00;100.00;100.00;28.00;28.08;445734669672.58;9.10;53.9817;N1;352.00;352.00;0.00;32.97;32.51;35.67;35.34;236850.73;2.83;793213094461.94;505091086743.50;1,3552;1,407617728;0,333612752;N2;352.00;352.00;0.00;33.73;33.40;37.43;36.95;71063.95;2.31;237993171858.83;174149274662.31;0,4654;0,517855736;0,211429888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,03008056;PLATEAU;-0,275293045;0,215131925;-6,691879891;"0; 13; 28";"5.3745; 4.0193; 4.4874";Abans de dessorrador/desgreixador;FALSE;Automàtic;24h;;1;24;1 h;2021-11-15;2021-11-15;3349.00;3349;210.00;80.00;0.00;21.00;0.00;2030.00;70.00;70.00;0.02;1.50;8.50;43.00;58.00;5.80;7.60;593.00;381.00;400.00;921000.00;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tarragona;DTOT;2021-11-14;3.14;22;52;59;5;4;2;3;2;4;2;9;3;5;5;3;4;3;5;41345;DTOT-2021-11-15;EURECAT;Ultrafiltració innovaprep;2021-11-16;MS2;57800000000.00;1000.00;2021-11-18;70.00;1000.00;0.35;200.00;250.00;70.00;5.00;3.57;;MS2;280.00;280.00;0.00;100.00;100.00;27.92;28.67;307007976194.83;9.04;37.1809;N1;280.00;280.00;0.00;34.14;34.32;38.39;37.64;47312.21;2.23;262204273614.04;109274424624.75;1,1092;1,464137708;0,206834104;N2;280.00;280.00;0.00;34.76;35.13;37.38;100.00;24939.41;1.95;138214196136.43;95097510704.41;0,8311;0,887719801;0,249586157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,103909449;PLATEAU;-0,528482522;0,320663624;-21,27900927;"0; 7; 13";"4.6750; 3.2100; 3.3630";Després de dessorrador/desgreixador;TRUE;Automàtic;24h;;1;24;20 min;2021-11-14;2021-11-15;5542.00;5542;374.00;97.00;0.00;14.20;0.00;1639.00;250.00;0.00;0.09;0.69;12.40;46.40;52.10;16.70;7.98;573.00;0.00;200.00;0.00;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
