NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-08-04;2021-08-10;--;;;0.0000;0.0000;776;0.0000;10594;14;3.5564;186;126;1;411;365;370;3;10477;11;1374;620
CATALUNYA;GLOBAL;2021-08-04;2021-08-10;Si;;;1047.4066;467.5922;325;25765.0528;16018;1890;3.0350;55;0;52;251;74;275;74;10207;1292;168;105
CATALUNYA;GLOBAL;2021-08-03;2021-08-09;--;;;0.0000;0.0000;836;0.0000;11000;17;3.7020;220;124;1;451;385;401;3;10899;14;1302;597
CATALUNYA;GLOBAL;2021-08-03;2021-08-09;Si;;;1112.1502;489.1734;340;26576.5052;16453;2019;3.1537;57;1;50;258;82;292;82;10476;1383;199;98
CATALUNYA;GLOBAL;2021-08-03;2021-08-09;No;361.839;0.77484;466.9857;185.4482;14301;2299.3068;106563;70750;10.2329;1144;272;142;5151;9150;5809;9308;84710;63020;222961;94989
CATALUNYA;GLOBAL;2021-08-02;2021-08-08;--;;;0.0000;0.0000;851;0.0000;10969;12;3.7550;228;123;1;460;391;408;1;10881;11;1326;632
CATALUNYA;GLOBAL;2021-08-02;2021-08-08;Si;;;1198.4749;483.4184;336;26654.1975;16371;2155;3.1298;59;1;52;263;73;294;75;10328;1462;208;100
CATALUNYA;GLOBAL;2021-08-02;2021-08-08;No;391.625;0.766822;510.7121;200.1923;15438;2374.1163;109205;73877;10.5062;1161;247;139;5573;9865;6147;9907;86897;65908;214853;103594
CATALUNYA;GLOBAL;2021-08-01;2021-08-07;No;399.589;0.758291;526.9604;204.1603;15744;2405.3420;110490;75000;10.5503;1192;264;141;5698;10046;6264;10086;87999;66973;212662;107789
CATALUNYA;GLOBAL;2021-08-01;2021-08-07;--;;;0.0000;0.0000;844;0.0000;10833;12;3.8662;227;113;1;465;379;415;1;10749;11;1328;629
CATALUNYA;GLOBAL;2021-08-01;2021-08-07;Si;;;1209.9848;487.7346;339;27205.2370;16391;2518;3.1051;60;1;54;261;78;295;80;10351;1726;210;100
CATALUNYA;GLOBAL;2021-07-31;2021-08-06;--;;;0.0000;0.0000;801;0.0000;9493;14;4.0102;221;112;1;426;375;376;2;9413;13;1328;627
CATALUNYA;GLOBAL;2021-07-31;2021-08-06;Si;;;1233.0048;504.9996;351;27770.6639;16768;2534;3.2300;65;1;52;269;82;312;86;10609;1713;203;102
CATALUNYA;GLOBAL;2021-07-31;2021-08-06;No;408.794;0.745966;548.0066;210.9034;16264;2447.5383;111576;77168;10.6473;1245;287;143;5904;10360;6425;10387;89036;68863;205998;122250
CATALUNYA;GLOBAL;2021-07-30;2021-08-05;No;432.74;0.739198;585.4179;225.8420;17416;2557.1785;114647;82552;10.9447;1373;305;152;6202;11214;6893;11225;91779;73763;208133;128975
CATALUNYA;GLOBAL;2021-07-30;2021-08-05;--;;;0.0000;0.0000;760;0.0000;7553;16;4.1722;229;28;1;364;396;310;3;7486;16;1421;747
CATALUNYA;GLOBAL;2021-07-30;2021-08-05;Si;;;1293.4321;504.9996;351;27013.8838;15960;2816;3.3079;65;2;53;266;85;309;90;10176;1886;212;110
CATALUNYA;GLOBAL;2021-07-29;2021-08-04;--;;;0.0000;0.0000;737;0.0000;6082;18;4.2997;222;31;1;308;429;256;4;6030;17;1382;833
CATALUNYA;GLOBAL;2021-07-29;2021-08-04;Si;;;1487.6627;559.6719;389;26999.4964;15793;2973;3.7407;72;2;55;296;93;345;104;10041;1962;203;135
CATALUNYA;GLOBAL;2021-07-29;2021-08-04;No;462.247;0.738285;626.1099;240.1970;18523;2652.1266;118225;86296;11.1890;1420;321;156;6573;11950;7289;11969;94874;77242;198122;142261
CATALUNYA;GLOBAL;2021-07-28;2021-08-03;No;500.815;0.741723;675.2049;259.5316;20014;2748.0861;122048;89873;11.6220;1508;310;156;7083;12931;7826;12956;98302;80514;184830;162819
CATALUNYA;GLOBAL;2021-07-28;2021-08-03;--;;;0.0000;0.0000;705;0.0000;4447;22;4.4048;205;32;0;240;465;188;7;4407;20;1565;956
CATALUNYA;GLOBAL;2021-07-28;2021-08-03;Si;;;1550.9675;579.8144;403;26796.6333;15407;3218;3.8556;75;2;64;288;115;327;126;9677;2072;206;124
CATALUNYA;GLOBAL;2021-07-27;2021-08-02;No;542.253;0.746813;726.0893;281.5374;21711;2859.3084;127738;92760;12.1466;1571;306;158;7569;14142;8377;14251;103058;83233;176355;174651
CATALUNYA;GLOBAL;2021-07-27;2021-08-02;--;;;0.0000;0.0000;644;0.0000;2547;22;4.3015;199;31;1;149;495;102;7;2514;20;1579;1181
CATALUNYA;GLOBAL;2021-07-27;2021-08-02;Si;;;1594.1299;622.9767;433;25874.3975;14782;3202;4.1402;79;1;66;282;151;315;161;9443;2054;169;119
CATALUNYA;GLOBAL;2021-07-26;2021-08-01;--;;;0.0000;0.0000;677;0.0000;1224;32;6.1789;204;30;1;116;561;67;9;1201;29;1577;1335
CATALUNYA;GLOBAL;2021-07-26;2021-08-01;Si;;;1681.8933;715.0564;497;25280.1956;14245;3326;4.5842;85;1;70;325;172;349;173;9201;2186;171;118
CATALUNYA;GLOBAL;2021-07-26;2021-08-01;No;595.086;0.753602;789.6560;310.5198;23946;2936.2575;130332;96100;12.9912;1669;303;152;8205;15741;9006;15961;105670;86514;175506;175354
CATALUNYA;GLOBAL;2021-07-25;2021-07-31;No;620.792;0.75926;817.6269;322.8000;24893;2954.9307;130597;97275;13.3804;1751;313;162;8381;16512;9156;16730;105808;87654;173286;182594
